adress,longitude,latitude,living_area,land_area,supplemental_area,patio,balcony,number_of_rooms,build_year,operating cost,sold_price
"Videvägen 17, Lövboås, Hallstahammars",59.618350473897856,16.246457383475864,132.0,790.0,37.0,0,0,6.0,1966,55 545,2 500 000
"Byleslingan 12, Kragstalund, Vallentuna",59.50604331659388,18.071915444234744,145.0,638.0,26.0,0,0,5.0,2003,38 512,7 010 000
"Bokvägen 59A, Tullinge Villastad, Botkyrka",59.222746442750754,17.918285521278477,155.0,902.0,None,1,1,5.0,2002,43 032,6 000 000
"Frennarps bygata 58, Frennarp, Halmstads",56.69238690850198,12.88476639107896,131.0,233.5,None,1,1,5.0,1979,28 635,3 500 000
"Vinkelgatan 5, Hälleforsnäs, Flens",59.14953067480339,16.483477569240645,94.0,1450.0,65.0,0,0,3.0,1929,52 350,1 280 000
"Låglandsgatan 21, None, Malmö",55.57520025290419,12.917371070779877,125.0,846.0,87.0,0,0,4.0,1966,39 641,8 400 000
"Forsvägen 51B, Trångsund, Huddinge",59.236760808963616,18.13916155558629,169.0,746.0,58.0,0,0,5.0,1983,55 786,8 300 000
"Kapellgatan 2, Höganäs, Höganäs",56.19966666491995,12.583149569099865,181.0,None,12.0,1,0,6.0,1986,36 383,3 000 000
"Rådjursvägen 4, Färgelanda, Färgelanda",58.57201996152456,12.000094999036094,88.0,745.0,88.0,1,0,6.0,1972,35 183,1 275 000
"Slupvägen 1, Onsala, Kungsbacka",57.396712539,12.0102471027,158.0,1038.0,False,1,0,5.0,1976,38 000,4 950 000
"Solbergavägen 4, Centralt, Nykvarns",59.17815539920814,17.440229376044172,116.0,948.0,141.0,0,0,5.0,1970,34 200,3 750 000
"Gevåg 148, Hammarstrand, Ragunda",63.14111523672769,16.33934645116785,105.0,5915.0,60.0,0,0,4.0,1952,85 500,565 000
"Örsätter 1, Nybble, Söderköpings",58.45992850250911,16.23961521765273,105.0,2780.0,10.0,0,0,None,1850,48 707,2 900 000
"Jägarnäsvägen 28, Jägarnäs, Ludvika",60.1238524552,15.1920798445,112.0,1068.0,88.0,0,0,5.0,1955,33 884,1 925 000
"Örtagårdsvägen 35, Örnsköldsvik, Örnsköldsviks",63.313966864752686,18.747259188548757,155.0,764.0,60.0,1,1,7.0,1970,44 318,2 740 000
"Elidas väg 3, Sälen, Malung-Sälens",61.15962043505295,13.271500819270232,180.0,1576.0,42.0,0,0,8.0,2006,57 653,6 300 000
"Luleåvägen 26, Silfwerbrandshöjden, Gällivare",67.13506037931131,20.691132410622014,120.0,800.0,50.0,0,0,4.0,2022,36 580,3 300 000
"Häggvägen 5, Hemmestorps Fure, Sjöbo",55.6161156,13.546958,100.0,3485.0,None,0,0,4.0,1954,36 740,3 100 000
"Tenorvägen 4, Lindesberg, Lindesbergs",59.6107254,15.2110806,153.0,539.0,None,0,0,7.0,1980,45 200,2 300 000
"Magnarpsgränd 5, Djupadal, Malmö",55.5721054,12.957592,128.0,580.0,35.0,0,0,4.0,1966,24 808,4 200 000
"Framhällagatan 4, Riseberga - Kungshälla - Husie, Malmö",55.596626227532795,13.08598767775618,125.0,1000.0,76.0,0,0,4.0,1926,40 400,4 400 000
"Klocklyckevägen 23, Gemla/Öja, Växjö",56.85213,14.621974,188.0,938.0,33.0,0,0,8.0,1981,33 200,3 860 000
"Centralvägen 18, Örsjö, Nybro",56.701618759535,15.7487376745243,119.0,2518.0,59.0,0,0,5.0,1928,61 205,850 000
"Sothönevägen 6, Ullna strand, Täby",59.4750252,18.1264763,158.0,420.0,7.0,0,0,6.0,2016,44 348,8 800 000
"Hindergårdsgatan 14E, Rynningeåsen, Örebro",59.284873508058,15.2420961248228,117.0,115.0,3.0,0,0,5.0,2011,36 058,4 100 000
"Sundhammarsvägen 610, Kärna, Kungälvs",57.8448563,11.7245636,188.0,2010.0,None,0,0,6.0,2000,33 658,5 500 000
"Ryttarvägen 12, None, Alvesta",56.90711,14.5376167,195.0,836.0,195.0,0,0,5.0,1968,56 834,1 900 000
"Törevägen 6, Ålem, Mönsterås",56.9600677,16.3742332,117.0,1017.0,None,0,0,4.0,1987,30 000,800 000
"Högalidsgatan 7A, Lamberget, Karlstads",59.3776131,13.53362,98.0,562.0,93.0,0,0,6.0,1964,53 454,4 300 000
"Vesslavägen 16, Friggesund, Hudiksvalls",61.8978729,16.55704,124.0,871.0,124.0,0,0,6.0,1963,21 321,1 850 000
"Smedjekullsgatan 15, Rostorp, Malmö",55.6145744,13.0450583,116.0,656.0,70.0,0,0,5.0,1923,61 219,6 275 000
"Biskopsbo Lunden 1, Vrigstad, Sävsjö",57.3658638,14.4943218,80.0,1982.0,45.0,0,0,2.0,1909,33 700,875 000
"Gustafsgatan 22, Centrum, Ystads",55.4334869,13.8069677,100.0,819.0,None,0,0,3.0,1958,35 887,3 000 000
"Rödmyren 102, None, Stenungsunds",58.1456146,11.8725967,152.0,3545.0,35.0,0,0,4.0,1974,50 578,3 025 000
"Rönnhagegatan 5, Söderkulla, Malmö",55.570507,13.0151157,147.0,696.0,100.0,0,0,5.0,1937,32 434,3 600 000
"Konsul Bohmans väg 5, Gåshaga, Lidingö",59.36120099861233,18.222377754827896,161.0,639.0,None,0,0,5.0,2002,64 300,14 600 000
"Mellangårdsvägen 11, Lanna, Lekebergs",59.23673,14.9079247,151.0,1453.0,50.0,0,0,5.0,2005,62 054,4 800 000
"Rörsoppsvägen 32, Enskede - Tallkrogen, Stockholms",59.27578,18.08448,107.0,554.0,107.0,0,0,6.0,1939,34 548,8 995 000
"Klevevägen 50, Ytterby, Kungälvs",57.85886,11.9205742,110.0,None,None,1,0,4.0,1996,20 796,3 600 000
"Kolstorpsvägen 1, None, Munkedals",58.5813446,11.5309677,102.0,533.0,66.0,0,0,5.0,1909,None,395 000
"Tistladalsvägen 3, Båstad - Centralt, Båstads",56.42125,12.8427544,176.0,708.0,12.0,0,0,6.0,1976,31 858,4 700 000
"Vättlösa kyrkby Björktuna 1, None, Götene",58.51331221371498,13.489783833638834,112.0,1665.0,112.0,0,0,5.0,1944,54 500,650 000
"Fornvägen 25, Löddeköpinge - Centralt, Kävlinge",55.76469331698435,13.004433169200151,157.0,470.0,None,0,0,6.0,1982,45 500,3 800 000
"Grundtjärnsvägen 11, Södermalm, Lycksele",64.5859591879395,18.6569692943633,84.0,874.0,36.0,0,0,4.0,1958,39 516,1 075 000
"Vinberga 132, Vinberga, Motala",58.4429855,15.11204,143.0,1962.0,None,0,0,5.0,1977,55 571,1 530 000
"Bergåsavägen 6, Kristvallabrunn, Nybro",56.7768,16.0455837,99.0,840.0,123.0,0,0,5.0,1976,43 261,1 200 000
"Södra Bredåker 107, Södra Bredåker, Bodens",65.8973124726892,21.321932215936986,180.0,1619.0,80.0,1,0,5.0,1976,58 500,1 400 000
"Köttorp Hästhagen 1, None, Tidaholms",58.16076,13.961175,177.0,1451.0,88.0,0,0,5.0,1976,27 057,2 250 000
"Rösjövägen 3 A-C, Rö, Norrtälje",59.6981303260059,18.3975762803212,150.0,2049.0,250.0,0,0,10.0,1972,42 500,5 000 000
"Verkstadsvägen 1, Vilshult, Olofströms",56.3585342020437,14.4794078461478,97.0,1029.0,12.0,0,0,4.0,1957,29 300,690 000
"Laborantgatan 17, Mörarp, Helsingborgs",56.054,12.8768845,108.0,897.0,138.0,0,0,4.0,1981,28 030,2 950 000
"Bäckvägen 10, Viggestorp, Finspångs",58.7044461996934,15.7540930924921,90.0,1286.0,None,0,0,4.0,1926,40 661,1 400 000
"Gamla allén 2, Saltsjö-Duvnäs, Nacka",59.30697,18.2039871,207.0,1028.0,27.0,0,0,7.0,1963,51 517,12 600 000
"Tomtevägen 4, Pryssgården, Norrköpings",58.60361,16.1400032,122.0,923.0,None,0,0,4.0,1993,None,4 200 000
"Lövbrunnavägen 42, Lövbrunna, Täby",59.47227,18.0482063,115.0,1290.0,74.0,0,0,5.0,1955,44 926,8 640 000
"Gynkelstorp Norregård 1, Tolg, Växjö",57.091732,14.7461462,260.0,30000.0,32.0,0,0,7.0,1905,51 600,5 350 000
"Ramsågsvägen 12, Jungfrusund, Ekerö",59.27201,17.8411865,235.0,1008.0,28.0,0,0,6.0,2018,42 166,15 600 000
"Mörkövägen 70, Tallkrogen - Enskede, Stockholms",59.270469577118185,18.08061444777959,66.0,493.0,62.0,1,0,5.0,1938,60 900,7 375 000
"Ljungbacksvägen 38, Genarp, Lunds",55.596592434738504,13.392789752239608,114.0,1069.0,114.0,0,0,4.0,1968,50 100,3 300 000
"Vårkullastigen 5, Adolfsberg, Örebro",59.23625,15.1728325,205.0,892.0,None,0,0,6.0,1975,35 079,5 100 000
"Lindvägen 11, Centrala Hallstavik, Norrtälje",60.0526179441313,18.598708884312,100.0,1075.0,80.0,0,0,6.0,1927,16 000,880 000
"Örkälla 55, Örkälla, Uppsala",60.0671896144115,17.719575643652,80.0,2401.0,None,1,0,3.0,1973,21 120,2 200 000
"Villebrådsvägen 4, Nöbbelöv, Lunds",55.730217,13.1672859,143.0,456.0,None,0,0,4.0,1977,36 866,5 900 000
"Examensvägen 11, Mårtens Fälad, Lunds",55.70257,13.2330532,116.0,752.0,None,0,0,None,1964,40 800,5 300 000
"Holmgatan 5, None, Landskrona",55.8858223,12.8127832,276.0,1044.0,49.0,0,0,10.0,1970,74 461,6 200 000
"Tallbacksvägen 2, Ängelsberg, Fagersta",59.95727,16.0111523,206.0,1870.0,57.0,0,0,9.0,1907,40 017,5 500 000
"Västerlånggatan 1, Östervåla, Heby",60.1790771,17.17439,127.0,1203.0,174.0,0,0,8.0,None,43 610,1 400 000
"Sannerudsgatan 11, Centralt, Kils",59.5022936345,13.3265848266,98.0,1119.0,92.0,0,0,4.0,1949,45 593,1 695 000
"Putsaregatan 2, Ekeby, Bjuvs",55.995697,12.963479,157.0,474.0,None,0,0,6.0,1978,30 700,1 950 000
"Valtorp Junkergården 9, Valtorp, Falköpings",58.2356916191,13.6309880607,80.0,630.0,False,0,0,3.0,1966,29 308,1 200 000
"Skivlingstigen 2, Bålsta - Väppebyberget, Håbo",59.5591213041,17.5137976351,115.0,225.0,None,1,0,4.0,1974,51 706,4 010 000
"Karriolvägen 7, Molkom, Karlstads",59.608390257,13.7230834376,135.0,969.0,35.0,1,1,5.0,1980,None,1 300 000
"Solbackegatan 4, Villastaden, Kristinehamns",59.3211875054,14.1181749511,135.0,850.0,95.0,1,1,6.0,1956,52 834,1 700 000
"Mickelvägen 2, Hällefors, Hällefors",59.7936409987,14.527050358,110.0,3450.0,60.0,1,1,4.0,1947,31 231,1 050 000
"Sjökortsgatan 14, Ursviken, Skellefteå",64.70117,21.19179,111.0,1065.0,16.0,0,0,4.0,1985,40 166,2 875 000
"Karlsborgsvägen 11, Tomelilla, Tomelilla",55.5401955,13.9412165,122.0,842.0,31.0,0,0,5.0,1983,60 476,2 100 000
"Skansvägen 12, Hästö, Karlskrona",56.1840219606,15.6270624874,179.0,1152.0,42.0,1,1,6.0,1922,54 126,4 650 000
"Skiffervägen 1, Lindome | Annestorp, Mölndals",57.5846821606,12.0832574323,128.0,1154.0,128.0,1,0,9.0,1975,43 427,5 260 000
"Korta gatan 4, Sjöbo, Sjöbo",55.634,13.707175,176.0,926.0,False,0,0,6.0,1909,47 403,2 300 000
"Oscarsgatan 9, Tomelilla, Tomelilla",55.53939,13.9386,None,898.0,None,0,0,5.0,2022,None,3 995 000
"Västergatan 1, Rydsgård, Skurups",55.46963,13.5785475,100.0,592.0,78.0,1,0,None,1926,49 490,2 995 000
