adress,longitude,latitude,living_area,land_area,supplemental_area,patio,balcony,number_of_rooms,build_year,operating cost,sold_price
"Ragvaldsträsk 338, Ragvaldsträsk, Skellefteå",64.61834,20.8385429,66.0,4170.0,None,0,0,3.0,1974,33 863,1 495 000
"Tennringen 50, None, Järfälla",59.4597778,17.80971,103.0,649.0,27.0,0,0,6.0,1958,19 949,5 200 000
"Sömmerskevägen 7, Hallsberg, Hallsbergs",59.055944018123,15.117798286997,105.0,1923.0,False,0,0,4.0,1929,46 215,720 000
"Mattias väg 8, Ivetofta, Bromölla",56.09088,14.4686079,130.0,1176.0,25.0,0,0,4.0,2009,41 802,2 770 000
"Rådmansgatan 7, Norrmalm, Skövde",58.4003372,13.8600206,128.0,1242.0,117.0,0,0,5.0,1950,30 388,3 900 000
"Galvvägen 5, Arbrå, Bollnäs",61.46425350741776,16.378382394745223,101.0,1139.0,81.0,1,0,4.0,1955,31 218,850 000
"Tolångavägen 11, Grimstofta, Sjöbo",55.62921125424986,13.722793846870356,95.0,1105.0,None,0,0,3.0,1909,51 961,2 400 000
"Kollanda 460, Älvängen, Ale",57.923273053189725,12.276468916433998,66.0,13563.0,90.0,0,0,5.0,1893,28 257,3 000 000
"Kärrarpsvägen 18, Kvidinge, Åstorps",56.13674047503281,13.033317035511532,138.0,1180.0,69.0,0,0,4.0,1923,47 232,1 795 000
"Remmarlöv 2401, Remmarlöv, Eslövs",55.839150785074246,13.244310727147894,145.0,1441.0,7.0,1,0,6.0,1900,67 283,1 900 000
"Stenevägen 36, Fylsta, Kumla",59.1243668,15.1267347,144.0,1091.0,55.0,0,0,6.0,1936,42 429,2 795 000
"Gamla Tågarpsvägen 895, Tjutebro, Ekeby, Bjuvs",55.9809532,12.9344378,98.0,1071.0,None,0,0,4.0,1909,30 150,2 250 000
"Rumbagatan 2, Sjöbo, Sjöbo",55.63411,13.72164,155.0,1106.0,None,0,0,7.0,2010,43 501,3 350 000
"Stäkshöjden 37, Stäket, Järfälla",59.47107,17.80953,123.0,None,None,1,0,6.0,2017,29 043,4 600 000
"Fornrörsvägen 12, Odensberg, Falköpings",58.15373,13.4352779,145.0,936.0,None,0,0,7.0,1975,22 395,1 350 000
"Tårpilsvägen 13, Lövstalöt, Uppsala",59.9574471,17.5807533,83.0,765.0,83.0,0,0,3.0,1962,61 967,3 500 000
"Långdammsvägen 2, Marstrandsön, Kungälvs",57.8850975,11.57893,28.0,617.0,None,0,0,None,1953,None,7 125 000
"Solviksvägen 5, Vedevåg, Lindesbergs",59.52717,15.2976141,78.0,1353.0,78.0,0,0,3.0,1959,69 012,1 195 000
"Parkgatan 26B, Centrum, Ånge",62.5277557,15.6601143,143.0,2735.0,66.0,0,0,6.0,1935,44 873,2 100 000
"Stadsfjället 209, None, Uddevalla",58.384613,11.9337091,None,6000.0,None,0,0,None,None,None,2 450 000
"Ekströms väg 13, Vintrie, Malmö",55.55436,12.9651937,107.0,234.0,None,0,0,3.0,1909,46 700,5 200 000
"Krigarevägen 7, Årstad, Falkenbergs",56.9168649152,12.6735333143,97.0,1820.0,100.0,0,0,3.0,1960,27 215,2 000 000
"Skarpängsvägen 23, None, Kungsörs",59.4397904064,15.935998669,86.0,1980.0,6.0,0,0,3.0,1930,27 558,1 250 000
"Åkarvägen 7, Skebokvarn, Flens",59.06056975728101,16.705352280994457,192.0,1803.0,22.0,0,0,6.0,1977,41 154,1 375 000
"Rösvägen 8, Gäddeholm, Västerås",59.54916,16.6719112,165.0,829.0,None,0,0,5.0,2017,61 808,7 700 000
